name,serving_size,serving_unit,protein_g,fat_g,carbs_g,calories,category
Broccoli Cooked From Frozen With Cream Sauce,100.0,g,3.4,4.4,6.9,76.0,Vegetables
Broccoli Cooked From Frozen With Mushroom Sauce,100.0,g,2.6,1.8,5.7,45.0,Vegetables
Broccoli Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,100.0,g,3.0,1.9,5.2,43.0,Vegetables
Broccoli Cooked Ns As To Form Fat Not Added In Cooking,100.0,g,3.1,0.1,5.3,28.0,Vegetables
Broccoli Cooked Ns As To Form Made With Butter,100.0,g,3.0,2.1,5.2,45.0,Vegetables
Broccoli Cooked Ns As To Form Made With Margarine,100.0,g,3.0,1.6,5.2,41.0,Vegetables
Broccoli Cooked Ns As To Form Made With Oil,100.0,g,3.0,2.5,5.2,48.0,Vegetables
Broccoli Cooked Ns As To Form Ns As To Fat Added In Cooking,100.0,g,3.0,1.9,5.2,43.0,Vegetables
Broccoli Cooked Ns As To Form With Cheese Sauce,100.0,g,5.3,4.6,5.4,80.0,Vegetables
Broccoli Cooked Ns As To Form With Cream Sauce,100.0,g,3.3,3.4,6.5,65.0,Vegetables
Broccoli Cooked Ns As To Form With Mushroom Sauce,100.0,g,2.6,1.8,5.7,45.0,Vegetables
Broccoli Flower Clusters Raw,100.0,g,3.0,0.3,5.1,28.0,Vegetables
Broccoli Frozen Chopped Cooked Boiled Drained With Salt,100.0,g,3.1,0.1,5.3,28.0,Vegetables
Broccoli Frozen Chopped Cooked Boiled Drained Without Salt,100.0,g,3.1,0.1,5.3,28.0,Vegetables
Broccoli Frozen Chopped Unprepared,100.0,g,2.8,0.3,4.8,26.0,Vegetables
Broccoli Frozen Spears Cooked Boiled Drained With Salt,100.0,g,3.1,0.1,5.3,28.0,Vegetables
Broccoli Frozen Spears Cooked Boiled Drained Without Salt,100.0,g,3.1,0.1,5.4,28.0,Vegetables
Broccoli Frozen Spears Unprepared,100.0,g,3.1,0.3,5.3,29.0,Vegetables
Broccoli Leaves Raw,100.0,g,3.0,0.3,5.1,28.0,Vegetables
Broccoli Raab (Rapini),100.0,g,3.2,0.5,2.9,22.0,Vegetables
Broccoli Raab Cooked Fat Added In Cooking Ns As To Type Of Fat,100.0,g,3.7,2.5,3.0,49.0,Vegetables
Broccoli Raab Cooked Fat Not Added In Cooking,100.0,g,3.8,0.5,3.1,33.0,Vegetables
Broccoli Raab Cooked Made With Butter,100.0,g,3.7,2.7,3.0,51.0,Vegetables
Broccoli Raab Cooked Made With Margarine,100.0,g,3.7,2.1,3.0,46.0,Vegetables
Broccoli Raab Cooked Made With Oil,100.0,g,3.7,3.1,3.0,55.0,Vegetables
Broccoli Raab Cooked Ns As To Fat Added In Cooking,100.0,g,3.7,2.5,3.0,49.0,Vegetables
Broccoli Salad With Cauliflower Cheese Bacon Bits And Dressing,100.0,g,5.8,22.9,10.6,269.0,Vegetables
Broccoli Slaw Salad,100.0,g,2.1,7.9,10.9,116.0,Vegetables
Broccoli Soup Prepared With Milk Home Recipe Canned Or Ready-To-Serve,100.0,g,2.7,3.7,6.3,69.0,Soups and Sauces
Broccoli Soup Prepared With Water Home Recipe Canned Or Ready-To-Serve,100.0,g,1.1,2.7,3.9,44.0,Soups and Sauces
Broccoli Stalks Raw,100.0,g,3.0,0.3,5.2,28.0,Vegetables
"Broccoli, raw",1.0,cup,2.0,0.3,4.8,24.3,Vegetables and Vegetable Products
Broiled Beef Round,100.0,g,29.2,7.3,0.0,191.0,Meats
Broiled Ground Beef Patty (93% Lean),100.0,g,26.2,8.9,0.0,193.0,Meats
Broiled Ground Beef Patty (97% Lean),100.0,g,26.4,4.5,0.0,153.0,Meats
Broiled Ground Lamb,100.0,g,24.8,19.6,0.0,283.0,Meats
Broiled Lean Beef Flank Steak,100.0,g,27.8,8.3,0.0,194.0,Meats
Broiled Pork Tenderloin,100.0,g,29.9,8.1,0.0,201.0,Meats
Broiled Sirloin Strip Steak,100.0,g,29.3,9.7,0.0,212.0,Meats
Broiled Turkey Patties,100.0,g,25.9,16.2,0.0,249.0,Meats
Brotwurst Pork Beef Link,100.0,g,14.3,27.8,3.0,323.0,Meats
Brown Nut Gravy Meatless,100.0,g,2.3,10.5,6.2,124.0,Soups and Sauces
Brown Rice,100.0,g,2.7,1.0,25.6,123.0,Grains and Pasta
Brunswick Stew,100.0,g,11.4,5.1,7.5,120.0,Meats
Bruschetta,100.0,g,4.0,7.7,22.2,173.0,Fast Foods
Brussels Sprouts (Cooked),100.0,g,2.5,0.5,7.1,36.0,Vegetables
Brussels Sprouts (Raw),100.0,g,3.4,0.3,8.9,43.0,Vegetables
Brussels Sprouts Cooked Boiled Drained With Salt,100.0,g,2.5,0.5,7.1,36.0,Vegetables
Brussels Sprouts Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,100.0,g,2.5,2.6,6.9,54.0,Vegetables
Brussels Sprouts Cooked From Fresh Fat Not Added In Cooking,100.0,g,2.5,0.5,7.1,36.0,Vegetables
Brussels Sprouts Cooked From Fresh Made With Butter,100.0,g,2.5,2.9,6.8,56.0,Vegetables
Brussels Sprouts Cooked From Fresh Made With Margarine,100.0,g,2.5,2.2,6.9,50.0,Vegetables
Brussels Sprouts Cooked From Fresh Made With Oil,100.0,g,2.5,3.3,6.9,60.0,Vegetables
Brussels Sprouts Cooked From Fresh Ns As To Fat Added In Cooking,100.0,g,2.5,2.6,6.9,54.0,Vegetables
Brussels Sprouts Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,100.0,g,3.5,2.5,8.0,59.0,Vegetables
Brussels Sprouts Cooked From Frozen Fat Not Added In Cooking,100.0,g,3.6,0.4,8.3,42.0,Vegetables
Brussels Sprouts Cooked From Frozen Made With Butter,100.0,g,3.5,2.8,8.0,62.0,Vegetables
Brussels Sprouts Cooked From Frozen Made With Margarine,100.0,g,3.5,2.1,8.1,56.0,Vegetables
Brussels Sprouts Cooked From Frozen Made With Oil,100.0,g,3.5,3.2,8.0,66.0,Vegetables
Brussels Sprouts Cooked From Frozen Ns As To Fat Added In Cooking,100.0,g,3.5,2.5,8.0,59.0,Vegetables
Brussels Sprouts Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,100.0,g,3.5,2.5,8.0,59.0,Vegetables
Brussels Sprouts Cooked Ns As To Form Fat Not Added In Cooking,100.0,g,3.6,0.4,8.3,42.0,Vegetables
Brussels Sprouts Cooked Ns As To Form Made With Butter,100.0,g,3.5,2.8,8.0,62.0,Vegetables
Brussels Sprouts Cooked Ns As To Form Made With Margarine,100.0,g,3.5,2.1,8.1,56.0,Vegetables
Brussels Sprouts Cooked Ns As To Form Made With Oil,100.0,g,3.5,3.2,8.0,66.0,Vegetables
Brussels Sprouts Cooked Ns As To Form Ns As To Fat Added In Cooking,100.0,g,3.5,2.5,8.0,59.0,Vegetables
Brussels Sprouts From Fresh Creamed,100.0,g,3.1,5.0,8.0,85.0,Vegetables
Brussels Sprouts From Frozen Creamed,100.0,g,3.7,5.0,8.7,89.0,Vegetables
Brussels Sprouts Frozen Cooked Boiled Drained With Salt,100.0,g,3.6,0.4,8.3,42.0,Vegetables
Brussels Sprouts Frozen Cooked Boiled Drained Without Salt,100.0,g,3.6,0.4,8.3,42.0,Vegetables
Brussels Sprouts Frozen Unprepared,100.0,g,3.8,0.4,7.9,41.0,Vegetables
Brussels Sprouts Ns As To Form Creamed,100.0,g,3.7,5.0,8.7,89.0,Vegetables
"Brussels sprouts, raw",100.0,g,4.0,0.6,9.6,,Vegetables and Vegetable Products
Buckwheat (Uncooked),100.0,g,13.2,3.4,71.5,343.0,Grains and Pasta
Buckwheat Flour Whole-Groat,100.0,g,12.6,3.1,70.6,335.0,Grains and Pasta
Buckwheat Groats Fat Added In Cooking,100.0,g,3.2,3.3,19.0,112.0,Grains and Pasta
Buckwheat Groats Fat Not Added In Cooking,100.0,g,3.4,0.6,19.9,92.0,Grains and Pasta
Buckwheat Groats Ns As To Fat Added In Cooking,100.0,g,3.4,0.6,19.9,92.0,Grains and Pasta
Buckwheat Groats Roasted Dry,100.0,g,11.7,2.7,75.0,346.0,Grains and Pasta
"Buckwheat, whole grain",100.0,g,11.1,3.0,71.1,,Cereal Grains and Pasta
Budweiser Beer,100.0,g,0.4,0.0,3.0,41.0,Beverages
Budweiser Light Beer,100.0,g,0.2,0.0,1.3,29.0,Beverages
Buffalo Chicken Submarine Sandwich,100.0,g,9.8,7.8,19.1,186.0,Fast Foods
Buffalo Chicken Submarine Sandwich With Cheese,100.0,g,11.4,9.8,17.4,203.0,Fast Foods
Buffalo Free Range Top Round Steak Cooked (Shoshone Bannock),100.0,g,32.5,1.8,0.0,146.0,American Indian
Buffalo Free Range Top Round Steak Raw (Shoshone Bannock),100.0,g,21.4,1.3,0.0,97.0,American Indian
Buffalo Sirloin Steak,100.0,g,28.1,5.7,0.0,171.0,Meats
Bulgur Dry,100.0,g,12.3,1.3,75.9,342.0,Grains and Pasta
Bulgur Fat Added In Cooking,100.0,g,2.9,4.2,17.3,112.0,Grains and Pasta
Bulgur Fat Not Added In Cooking,100.0,g,3.1,0.2,18.5,83.0,Grains and Pasta
Bulgur Ns As To Fat Added In Cooking,100.0,g,3.1,0.2,18.5,83.0,Grains and Pasta
"Bulgur, dry, raw",100.0,g,11.8,2.4,75.9,,Cereal Grains and Pasta
Burdock Cooked Fat Added In Cooking,100.0,g,2.0,3.6,20.2,115.0,Vegetables
Burdock Cooked Fat Not Added In Cooking,100.0,g,2.1,0.1,21.0,87.0,Vegetables
Burdock Cooked Ns As To Fat Added In Cooking,100.0,g,2.0,3.6,20.2,115.0,Vegetables
Burdock Root Cooked Boiled Drained With Salt,100.0,g,2.1,0.1,21.1,88.0,Vegetables
Burdock Root Raw,100.0,g,1.5,0.1,17.3,72.0,Vegetables
Burger King Cheeseburger,100.0,g,14.6,14.8,23.7,286.0,Fast Foods
Burger King Chicken Strips,100.0,g,18.2,15.2,20.5,292.0,Fast Foods
Burger King Croissanwich With Egg And Cheese,100.0,g,10.3,15.8,24.8,283.0,Fast Foods
Burger King Croissanwich With Sausage And Cheese,100.0,g,13.7,25.4,23.0,376.0,Fast Foods
Burger King Croissanwich With Sausage Egg And Cheese,100.0,g,12.1,21.8,15.9,308.0,Fast Foods
Burger King Double Cheeseburger,100.0,g,16.8,16.1,17.4,282.0,Fast Foods
Burger King Double Whopper No Cheese,100.0,g,13.9,15.7,13.7,252.0,Fast Foods
Burger King Double Whopper With Cheese,100.0,g,14.5,17.1,13.5,266.0,Fast Foods
Burger King French Fries,100.0,g,3.2,12.5,38.7,280.0,Fast Foods
Burger King French Toast Sticks,100.0,g,6.0,17.7,41.2,349.0,Fast Foods
Burger King Hamburger,100.0,g,14.8,10.6,26.8,261.0,Fast Foods
Burger King Hash Brown Rounds,100.0,g,2.8,19.3,29.4,302.0,Fast Foods
Burger King Onion Rings,100.0,g,3.9,25.2,43.6,417.0,Fast Foods
Burger King Original Chicken Sandwich,100.0,g,12.1,14.7,26.2,286.0,Fast Foods
Burger King Premium Fish Sandwich,100.0,g,10.3,12.4,26.7,260.0,Fast Foods
Burger King Vanilla Shake,100.0,g,3.2,8.7,19.0,168.0,Fast Foods
Burger King Whopper No Cheese,100.0,g,10.7,12.8,18.6,233.0,Fast Foods
Burger King Whopper With Cheese,100.0,g,11.2,15.3,16.7,250.0,Fast Foods
Burgundy,100.0,g,0.1,0.0,3.7,86.0,Beverages
Burrito Bean And Cheese Frozen,100.0,g,7.1,6.3,34.0,221.0,Prepared Meals
Burrito Beef And Bean Frozen,100.0,g,7.3,9.6,30.8,239.0,Prepared Meals
Burrito Beef And Bean Microwaved,100.0,g,8.7,11.9,39.0,298.0,Prepared Meals
Burrito Taco Or Quesadilla With Egg,100.0,g,10.3,11.8,19.7,229.0,Fast Foods
Burrito Taco Or Quesadilla With Egg And Breakfast Meat,100.0,g,11.4,13.9,17.2,242.0,Fast Foods
Burrito Taco Or Quesadilla With Egg And Potato,100.0,g,9.0,12.7,21.1,235.0,Fast Foods
Burrito Taco Or Quesadilla With Egg Beans And Breakfast Meat,100.0,g,10.5,12.5,17.3,224.0,Fast Foods
Burrito Taco Or Quesadilla With Egg Potato And Breakfast Meat,100.0,g,10.1,14.4,18.9,246.0,Fast Foods
Burrito Taco Or Quesadilla With Egg Potato And Breakfast Meat From Fast Food,100.0,g,11.2,13.9,17.8,242.0,Fast Foods
Burrito With Beans,100.0,g,6.5,6.2,32.9,206.0,Fast Foods
Burrito With Beans And Beef,100.0,g,11.5,7.5,19.5,191.0,Fast Foods
Burrito With Beans And Cheese,100.0,g,7.3,6.0,31.2,205.0,Fast Foods
Burrito With Beans And Rice Meatless,100.0,g,9.3,9.9,21.5,211.0,Prepared Meals
Burrito With Beans Cheese And Beef,100.0,g,7.0,6.8,23.4,180.0,Fast Foods
Burrito With Beans Meatless,100.0,g,9.8,10.6,21.0,217.0,Prepared Meals
Burrito With Beans Rice And Sour Cream Meatless,100.0,g,8.5,11.1,19.4,210.0,Prepared Meals
Burrito With Chicken,100.0,g,16.9,12.0,16.6,242.0,Prepared Meals
Burrito With Chicken And Beans,100.0,g,12.9,11.2,19.1,228.0,Prepared Meals
Burrito With Chicken And Sour Cream,100.0,g,14.6,13.2,14.7,235.0,Prepared Meals
Burrito With Chicken Beans And Rice,100.0,g,12.2,10.4,19.7,221.0,Prepared Meals
Burrito With Chicken Beans And Sour Cream,100.0,g,11.4,12.4,17.0,224.0,Prepared Meals
Burrito With Chicken Beans Rice And Sour Cream,100.0,g,10.9,11.6,17.7,218.0,Prepared Meals
Burrito With Meat,100.0,g,13.0,14.5,14.4,242.0,Prepared Meals
Burrito With Meat And Beans,100.0,g,11.4,12.5,17.8,229.0,Prepared Meals
Burrito With Meat And Sour Cream,100.0,g,11.6,15.2,13.1,236.0,Prepared Meals
Burrito With Meat Beans And Rice,100.0,g,10.8,11.7,18.5,223.0,Prepared Meals
Burrito With Meat Beans And Sour Cream,100.0,g,10.2,13.4,16.1,225.0,Prepared Meals
Burrito With Meat Beans And Sour Cream From Fast Food,100.0,g,8.6,7.9,26.8,209.0,Prepared Meals
Burrito With Meat Beans Rice And Sour Cream,100.0,g,9.7,12.6,16.8,219.0,Prepared Meals
Butter Clarified Butter (Ghee),100.0,g,0.0,100.0,0.0,900.0,NULL
Butter Croissants,100.0,g,8.2,21.0,45.8,406.0,Baked Foods
Butter Light Stick With Salt,100.0,g,3.3,55.1,0.0,499.0,Fats and Oils
Butter Light Stick Without Salt,100.0,g,3.3,55.1,0.0,499.0,Fats and Oils
Butter Replacement Without Fat Powder,100.0,g,2.0,1.0,89.0,373.0,Fats and Oils
Butter Whipped Tub Salted,100.0,g,0.5,78.3,2.9,718.0,Fats and Oils
Butter-Margarine Blend Stick Salted,100.0,g,0.5,80.9,0.4,717.0,Fats and Oils
Butterbur (Fuki) Raw,100.0,g,0.4,0.0,3.6,14.0,Vegetables
Butterbur Canned,100.0,g,0.1,0.1,0.4,3.0,Vegetables
Butterbur Cooked Boiled Drained With Salt,100.0,g,0.2,0.0,2.2,8.0,Vegetables
Butterbur Cooked Boiled Drained Without Salt,100.0,g,0.2,0.0,2.2,8.0,Vegetables
Butterhead Lettuce,100.0,g,1.4,0.2,2.2,13.0,Vegetables
Buttermilk,100.0,g,3.2,3.3,4.9,62.0,Dairy and Egg Products
Buttermilk Fat Free (Skim),100.0,g,3.3,0.9,4.8,40.0,Dairy and Egg Products
Buttermilk Low Fat (1%),100.0,g,3.3,0.9,4.8,40.0,Dairy and Egg Products
"Buttermilk, low fat",100.0,g,3.5,1.1,4.8,,Dairy and Egg Products
Butternut Squash,100.0,g,1.0,0.1,11.7,45.0,Vegetables
Butternuts (Dried),100.0,g,24.9,57.0,12.1,612.0,Nuts and Seeds
Butterscotch Candy,100.0,g,0.0,3.3,90.4,391.0,Sweets
Cabbage,100.0,g,1.3,0.1,5.8,25.0,Vegetables
Cabbage Chinese (Pak-Choi) Cooked Boiled Drained With Salt,100.0,g,1.6,0.2,1.8,12.0,Vegetables
Cabbage Chinese (Pe-Tsai) Cooked Boiled Drained With Salt,100.0,g,1.5,0.2,2.4,14.0,Vegetables
Cabbage Chinese (Pe-Tsai) Cooked Boiled Drained Without Salt,100.0,g,1.5,0.2,2.4,14.0,Vegetables
Cabbage Chinese (Pe-Tsai) Raw,100.0,g,1.2,0.2,3.2,16.0,Vegetables
Cabbage Chinese Cooked Fat Added In Cooking Ns As To Type Of Fat,100.0,g,1.5,2.7,1.7,35.0,Vegetables
Cabbage Chinese Cooked Fat Not Added In Cooking,100.0,g,1.6,0.2,1.8,12.0,Vegetables
Cabbage Chinese Cooked Made With Butter,100.0,g,1.5,2.3,1.7,31.0,Vegetables
Cabbage Chinese Cooked Made With Margarine,100.0,g,1.5,1.8,1.7,26.0,Vegetables
Cabbage Chinese Cooked Made With Oil,100.0,g,1.5,2.7,1.7,35.0,Vegetables
Cabbage Chinese Cooked Ns As To Fat Added In Cooking,100.0,g,1.5,2.7,1.7,35.0,Vegetables
Cabbage Chinese Salad With Dressing,100.0,g,2.5,15.0,15.7,203.0,Vegetables
Cabbage Common (Danish Domestic And Pointed Types) Freshly Harvest Raw,100.0,g,1.2,0.2,5.4,24.0,Vegetables
Cabbage Common (Danish Domestic And Pointed Types) Stored Raw,100.0,g,1.2,0.2,5.4,24.0,Vegetables
Cabbage Common Cooked Boiled Drained With Salt,100.0,g,1.3,0.1,5.5,23.0,Vegetables
Cabbage Creamed,100.0,g,2.4,4.9,7.2,79.0,Vegetables
Cabbage Green Cooked Fat Added In Cooking Ns As To Type Of Fat,100.0,g,1.2,2.3,5.3,42.0,Vegetables
Cabbage Green Cooked Fat Not Added In Cooking,100.0,g,1.3,0.1,5.5,23.0,Vegetables
Cabbage Green Cooked Made With Butter,100.0,g,1.2,2.5,5.3,44.0,Vegetables
Cabbage Green Cooked Made With Margarine,100.0,g,1.2,1.9,5.3,38.0,Vegetables
Cabbage Green Cooked Made With Oil,100.0,g,1.2,3.0,5.3,48.0,Vegetables
Cabbage Green Cooked Ns As To Fat Added In Cooking,100.0,g,1.2,2.3,5.3,42.0,Vegetables
Cabbage Japanese Style Fresh Pickled,100.0,g,1.6,0.1,5.7,30.0,Vegetables
Cabbage Mustard Salted,100.0,g,1.1,0.1,5.6,28.0,Vegetables
Cabbage Red Cooked Boiled Drained With Salt,100.0,g,1.5,0.1,6.9,29.0,Vegetables
Cabbage Red Cooked Fat Added In Cooking Ns As To Type Of Fat,100.0,g,1.5,2.3,6.7,47.0,Vegetables
Cabbage Red Cooked Fat Not Added In Cooking,100.0,g,1.5,0.1,6.9,29.0,Vegetables
Cabbage Red Cooked Made With Butter,100.0,g,1.5,2.5,6.7,50.0,Vegetables
Cabbage Red Cooked Made With Margarine,100.0,g,1.5,1.9,6.7,44.0,Vegetables
Cabbage Red Cooked Made With Oil,100.0,g,1.5,3.0,6.7,54.0,Vegetables
Cabbage Red Cooked Ns As To Fat Added In Cooking,100.0,g,1.5,2.3,6.7,47.0,Vegetables
Cabbage Red Pickled,100.0,g,0.8,0.1,8.6,44.0,Fruits
Cabbage Salad Or Coleslaw Made With Any Type Of Fat Free Dressing,100.0,g,1.0,0.7,8.5,41.0,Vegetables
Cabbage Salad Or Coleslaw Made With Coleslaw Dressing,100.0,g,1.1,7.6,10.3,109.0,Vegetables
Cabbage Salad Or Coleslaw Made With Creamy Dressing,100.0,g,1.2,9.8,6.3,116.0,Vegetables
Cabbage Salad Or Coleslaw Made With Italian Dressing,100.0,g,1.1,4.6,7.6,73.0,Vegetables
Cabbage Salad Or Coleslaw Made With Light Coleslaw Dressing,100.0,g,0.9,4.9,14.4,100.0,Vegetables
Cabbage Salad Or Coleslaw Made With Light Creamy Dressing,100.0,g,1.3,0.7,9.6,46.0,Vegetables
Cabbage Salad Or Coleslaw Made With Light Italian Dressing,100.0,g,1.0,1.6,7.2,44.0,Vegetables
Cabbage Salad Or Coleslaw With Apples And/or Raisins With Dressing,100.0,g,1.1,6.1,13.3,106.0,Vegetables
Cabbage Salad Or Coleslaw With Pineapple With Dressing,100.0,g,1.1,6.6,11.1,103.0,Vegetables
Cabbage Savoy Cooked Boiled Drained With Salt,100.0,g,1.8,0.1,5.4,24.0,Vegetables
Cabbage Savoy Cooked Fat Added In Cooking Ns As To Type Of Fat,100.0,g,2.0,2.4,6.1,48.0,Vegetables
Cabbage Savoy Cooked Fat Not Added In Cooking,100.0,g,2.1,0.1,6.3,28.0,Vegetables
Cabbage Savoy Cooked Made With Butter,100.0,g,2.0,2.7,6.1,50.0,Vegetables
Cabbage Savoy Cooked Made With Margarine,100.0,g,2.0,2.0,6.2,44.0,Vegetables
Cabbage Savoy Cooked Made With Oil,100.0,g,2.0,3.3,6.1,56.0,Vegetables
Cabbage Savoy Cooked Ns As To Fat Added In Cooking,100.0,g,2.0,2.4,6.1,48.0,Vegetables
Cabbage Soup Home Recipe Canned Or Ready-To-Serve,100.0,g,1.8,0.8,6.3,38.0,Soups and Sauces
Cabbage With Ham Hocks,100.0,g,7.9,2.5,4.1,68.0,Meats
Cabbage With Meat Soup Home Recipe Canned Or Ready-To-Serve,100.0,g,4.8,1.3,4.0,46.0,Soups and Sauces
"Cabbage, bok choy, raw",100.0,g,1.0,0.2,3.5,,Vegetables and Vegetable Products
"Cabbage, green, raw",100.0,g,1.0,0.2,6.4,,Vegetables and Vegetable Products
"Cabbage, red, raw",100.0,g,1.2,0.2,6.8,,Vegetables and Vegetable Products
Cabernet Franc,100.0,g,0.1,0.0,2.5,83.0,Beverages
Cabernet Sauvignon,100.0,g,0.1,0.0,2.6,83.0,Beverages
Cactus Cooked Fat Added In Cooking Ns As To Type Of Fat,100.0,g,1.3,2.3,3.2,34.0,Vegetables
Cactus Cooked Fat Not Added In Cooking,100.0,g,1.3,0.1,3.3,15.0,Vegetables
Cactus Cooked Made With Butter,100.0,g,1.3,2.5,3.2,36.0,Vegetables
Cactus Cooked Made With Margarine,100.0,g,1.3,1.9,3.2,31.0,Vegetables
Cactus Cooked Made With Oil,100.0,g,1.3,3.0,3.2,40.0,Vegetables
Cactus Cooked Ns As To Fat Added In Cooking,100.0,g,1.3,2.3,3.2,34.0,Vegetables
Caesar Salad With Romaine No Dressing,100.0,g,4.8,3.4,6.0,71.0,Vegetables
Caffeine Free Cola,100.0,g,0.0,0.0,10.6,41.0,Beverages
Cake Angel Food With Fruit And Icing Or Filling,100.0,g,4.3,3.0,42.5,209.0,Baked Foods
Cake Angel Food With Icing Or Filling,100.0,g,4.1,7.0,65.3,333.0,Baked Foods
Cake Angelfood Commercially Prepared,100.0,g,5.9,0.8,57.8,258.0,Baked Foods
Cake Angelfood Dry Mix Prepared,100.0,g,6.1,0.3,58.7,257.0,Baked Foods
Cake Batter Raw Chocolate,100.0,g,4.3,13.5,40.5,290.0,Baked Foods
Cake Batter Raw Not Chocolate,100.0,g,3.9,11.1,41.4,281.0,Baked Foods
Cake Boston Cream Pie Commercially Prepared,100.0,g,2.4,8.5,42.9,252.0,Baked Foods
Cake Cherry Fudge With Chocolate Frosting,100.0,g,2.4,12.5,38.0,264.0,Baked Foods
Cake Cream Without Icing Or Topping,100.0,g,4.9,18.7,45.9,370.0,Baked Foods
Cake Dobos Torte,100.0,g,3.6,17.9,55.6,390.0,Baked Foods
Cake Fruitcake Commercially Prepared,100.0,g,2.9,9.1,61.6,324.0,Baked Foods
Cake Gingerbread Dry Mix,100.0,g,4.4,13.8,74.6,437.0,Baked Foods
Cake Ice Cream And Cake Roll Chocolate,100.0,g,3.5,16.3,40.7,313.0,Baked Foods
Cake Ice Cream And Cake Roll Not Chocolate,100.0,g,3.2,15.0,42.6,314.0,Baked Foods
Cake Jelly Roll,100.0,g,4.0,13.9,56.3,366.0,Baked Foods
Cake Made With Glutinous Rice,100.0,g,2.2,6.5,53.8,276.0,Prepared Meals
Cake Made With Glutinous Rice And Dried Beans,100.0,g,8.3,0.3,37.3,187.0,Prepared Meals
Cake Or Cupcake Applesauce With Icing Or Filling,100.0,g,3.9,25.9,46.5,424.0,Baked Foods
Cake Or Cupcake Applesauce Without Icing Or Filling,100.0,g,4.9,24.2,44.8,408.0,Baked Foods
Cake Or Cupcake Banana With Icing Or Filling,100.0,g,4.1,26.4,48.0,435.0,Baked Foods
Cake Or Cupcake Banana Without Icing Or Filling,100.0,g,5.3,25.1,47.1,424.0,Baked Foods
Cake Or Cupcake Carrot With Icing Or Filling,100.0,g,4.1,26.5,45.9,428.0,Baked Foods
Cake Or Cupcake Carrot Without Icing Or Filling,100.0,g,5.3,25.2,43.7,413.0,Baked Foods
Cake Or Cupcake Chocolate Devil's Food Or Fudge Without Icing Or Filling,100.0,g,4.9,15.1,45.6,326.0,Baked Foods
Cake Or Cupcake German Chocolate With Icing Or Filling,100.0,g,3.9,21.9,51.5,401.0,Baked Foods
Cake Or Cupcake Gingerbread,100.0,g,4.0,10.2,50.7,308.0,Baked Foods
Cake Or Cupcake Lemon With Icing Or Filling,100.0,g,3.4,17.4,55.0,386.0,Baked Foods
Cake Or Cupcake Lemon Without Icing Or Filling,100.0,g,4.5,16.1,45.5,344.0,Baked Foods
Cake Or Cupcake Marble With Icing Or Filling,100.0,g,3.2,19.0,54.5,390.0,Baked Foods
Cake Or Cupcake Marble Without Icing Or Filling,100.0,g,4.7,15.6,45.5,335.0,Baked Foods
Cake Or Cupcake Nut With Icing Or Filling,100.0,g,4.2,20.2,53.8,404.0,Baked Foods
Cake Or Cupcake Nut Without Icing Or Filling,100.0,g,6.5,24.7,46.1,425.0,Baked Foods
Cake Or Cupcake Oatmeal,100.0,g,3.2,12.6,63.3,370.0,Baked Foods
Cake Or Cupcake Peanut Butter,100.0,g,5.2,21.1,53.7,413.0,Baked Foods
Cake Or Cupcake Pumpkin With Icing Or Filling,100.0,g,4.0,25.4,44.0,411.0,Baked Foods
Cake Or Cupcake Pumpkin Without Icing Or Filling,100.0,g,5.1,23.6,41.1,387.0,Baked Foods
Cake Or Cupcake Raisin-Nut,100.0,g,6.1,21.1,52.2,411.0,Baked Foods
Cake Or Cupcake Spice With Icing Or Filling,100.0,g,3.9,25.9,46.5,424.0,Baked Foods
Cake Or Cupcake Spice Without Icing Or Filling,100.0,g,4.9,24.2,44.8,408.0,Baked Foods
Cake Or Cupcake White Without Icing Or Filling,100.0,g,3.8,13.0,49.6,329.0,Baked Foods
Cake Or Cupcake Yellow Without Icing Or Filling,100.0,g,4.5,16.1,45.5,344.0,Baked Foods
Cake Or Cupcake Zucchini,100.0,g,4.2,27.3,46.2,437.0,Baked Foods
Cake Or Pancake Made With Rice Flour And/or Dried Beans,100.0,g,6.4,0.3,25.0,128.0,Prepared Meals
Cake Pineapple Upside Down,100.0,g,3.5,16.4,44.2,331.0,Baked Foods
Cake Pound Bimbo Bakeries Usa Panque Casero Home Baked Style,100.0,g,6.6,21.7,48.9,418.0,Baked Foods
Cake Pound Chocolate,100.0,g,5.4,18.3,61.4,414.0,Baked Foods
Cake Pound Commercially Prepared Butter (Includes Fresh And Frozen),100.0,g,5.0,14.0,53.6,353.0,Baked Foods
Cake Pound Commercially Prepared Fat-Free,100.0,g,5.4,1.2,61.0,283.0,Baked Foods
Cake Pound Commercially Prepared Other Than All Butter Enriched,100.0,g,5.2,17.9,52.5,389.0,Baked Foods
Cake Pound Commercially Prepared Other Than All Butter Unenriched,100.0,g,5.2,17.9,52.5,389.0,Baked Foods
Cake Pound Puerto Rican Style,100.0,g,7.0,29.0,45.3,465.0,Baked Foods
Cake Pound With Icing Or Filling,100.0,g,3.6,15.8,62.8,403.0,Baked Foods
Cake Pudding-Type Carrot Dry Mix,100.0,g,5.1,9.8,79.2,415.0,Baked Foods
